order_id,customer,amount,date,status
ORD-000044,John Johnson,87.54,2024-01-07,cancelled
ORD-000045,James Martinez,604.59,2023-12-12,delivered
ORD-000046,Richard Martinez,1487.74,2024-07-29,delivered
ORD-000047,Joseph Davis,59.67,2023-04-15,shipped
ORD-000048,James Garcia,148.55,2023-10-12,cancelled
ORD-000049,Charles Miller,783.73,2023-08-12,shipped
ORD-000050,Sarah Jones,1896.2,2024-01-01,shipped
ORD-000051,William Davis,745.76,2023-02-18,pending
ORD-000052,Robert Miller,1286.84,2024-08-22,delivered
ORD-000053,Richard Martinez,691.6,2024-05-15,delivered
ORD-000054,Karen Rodriguez,113.94,2024-11-27,delivered
ORD-000055,Mary Rodriguez,1994.99,2024-03-13,shipped
ORD-000056,Charles Smith,1106.41,2024-09-23,pending
ORD-000057,Karen Martinez,27.43,2023-10-13,cancelled
ORD-000058,Sarah Williams,668.17,2024-05-06,delivered
ORD-000059,Jennifer Martinez,1209.96,2023-07-31,shipped
ORD-000060,Elizabeth Brown,24651.61,2024-11-24,delivered
ORD-000061,David Rodriguez,114.67,2024-02-03,cancelled
ORD-000062,Charles Davis,1487.94,2023-10-11,delivered
ORD-000063,Joseph Martinez,68.45,2023-07-07,delivered
ORD-000064,Karen Miller,99.15,2023-05-01,cancelled
ORD-000065,Linda Davis,1179.21,2024-10-30,pending
ORD-000066,Mary Miller,985.68,2024-03-30,cancelled
ORD-000067,James Jones,1222.19,2023-04-28,pending
ORD-000068,Michael Davis,289.01,2023-07-09,delivered
ORD-000069,Thomas Martinez,1195.31,2023-05-18,shipped
ORD-000070,Charles Miller,363.21,2024-08-14,pending
ORD-000071,Robert Williams,1995.82,2024-03-23,delivered
ORD-000072,John Miller,1779.09,2024-09-19,pending
ORD-000073,Sarah Brown,310.95,2024-07-04,shipped
ORD-000074,Barbara Smith,736.22,2023-08-12,cancelled
ORD-000075,David Johnson,507.59,2023-04-13,shipped
ORD-000076,Linda Johnson,1991.41,2023-07-11,delivered
ORD-000077,Charles Smith,1494.48,2023-03-01,pending
ORD-000078,John Davis,23420.54,2024-01-02,delivered
ORD-000079,Karen Garcia,428.21,2024-11-09,pending
ORD-000080,James Smith,12713.79,2023-10-20,shipped
ORD-000081,Patricia Johnson,20232.87,2024-03-31,shipped
ORD-000082,Richard Miller,1185.42,2024-04-26,shipped
ORD-000083,Richard Garcia,940.32,2023-09-23,pending
ORD-000084,Jennifer Jones,1096.97,2023-03-19,delivered
ORD-000085,Mary Martinez,810.31,2024-06-24,pending
ORD-000086,David Johnson,1502.73,2024-07-05,shipped
ORD-000087,Thomas Smith,1133.15,2024-11-01,cancelled
ORD-000088,Linda Garcia,1590.63,2023-05-07,pending
ORD-000089,William Jones,1077.31,2023-06-11,shipped
ORD-000090,Joseph Jones,1546.65,2024-02-28,cancelled
ORD-000091,Elizabeth Miller,307.14,2024-10-25,shipped
ORD-000092,Linda Brown,875.24,2023-06-27,cancelled
ORD-000093,Susan Davis,1694.23,2024-03-04,delivered
ORD-000094,Mary Johnson,1893.26,2024-01-07,cancelled
ORD-000095,Karen Smith,894.08,2024-01-24,delivered
ORD-000096,Thomas Davis,1385.17,2024-01-30,cancelled
ORD-000097,Thomas Miller,1642.38,2023-10-30,cancelled
ORD-000098,James Miller,1509.61,2023-05-14,delivered
ORD-000099,John Jones,42999.53,2024-06-11,cancelled
ORD-000100,Linda Garcia,562.72,2023-12-30,pending
ORD-000101,Barbara Johnson,1333.65,2023-11-24,pending
ORD-000102,Barbara Martinez,51.5,2023-09-08,cancelled
ORD-000103,Charles Garcia,1837.62,2023-02-23,shipped
ORD-000104,Thomas Rodriguez,31.76,2023-03-27,delivered
ORD-000105,Linda Rodriguez,120.45,2024-05-04,shipped
ORD-000106,Linda Garcia,198.0,2023-02-03,pending
ORD-000107,Charles Rodriguez,1402.89,2024-08-20,shipped
ORD-000108,John Martinez,856.81,2024-02-28,cancelled
ORD-000109,Michael Davis,1039.52,2023-11-17,cancelled
ORD-000110,Robert Rodriguez,1313.03,2023-09-08,delivered
ORD-000111,Linda Brown,91.05,2023-09-04,delivered
ORD-000112,Susan Jones,513.08,2023-08-02,shipped
ORD-000113,Richard Davis,690.2,2024-11-01,shipped
ORD-000114,William Davis,757.23,2024-05-12,pending
ORD-000115,Joseph Jones,828.78,2024-04-13,cancelled
ORD-000116,Thomas Williams,1849.88,2024-09-04,shipped
ORD-000117,Charles Williams,886.32,2023-05-04,delivered
ORD-000118,James Davis,1263.49,2024-04-24,delivered
ORD-000119,Patricia Davis,965.11,2024-08-27,delivered
ORD-000120,Karen Williams,947.64,2023-07-03,shipped
ORD-000121,Charles Jones,1948.33,2024-08-03,shipped
ORD-000122,Barbara Jones,1917.98,2024-05-25,shipped
ORD-000123,Thomas Rodriguez,1198.59,2023-08-21,pending
ORD-000124,David Garcia,864.28,2023-08-03,delivered
ORD-000125,Karen Jones,14295.08,2024-11-26,shipped
ORD-000126,Michael Davis,301.46,2023-08-19,pending
ORD-000127,Linda Martinez,1899.29,2023-08-30,delivered
ORD-000128,Linda Martinez,1912.81,2023-12-20,pending
ORD-000129,Thomas Garcia,895.49,2023-02-27,delivered
ORD-000130,William Smith,1018.19,2024-04-03,shipped
ORD-000131,Charles Williams,1276.78,2024-06-04,cancelled
ORD-000132,Robert Garcia,1953.61,2024-02-19,cancelled
ORD-000133,Charles Johnson,1654.52,2023-05-20,delivered
ORD-000134,Mary Garcia,1287.55,2023-10-18,pending
ORD-000135,James Martinez,516.76,2024-10-22,cancelled
ORD-000136,Sarah Martinez,1865.47,2024-06-13,delivered
ORD-000137,William Jones,1165.18,2024-05-05,pending
ORD-000138,John Williams,1082.95,2024-10-19,delivered
ORD-000139,Jessica Miller,133.65,2024-06-14,pending
ORD-000140,Karen Davis,986.16,2024-05-23,cancelled
ORD-000141,Charles Martinez,1676.25,2023-08-01,pending
ORD-000142,Jessica Smith,297.3,2023-02-27,cancelled
ORD-000143,Sarah Williams,1149.1,2024-04-24,delivered
ORD-000144,Linda Rodriguez,1263.34,2023-06-21,shipped
ORD-000145,Michael Smith,657.77,2023-06-27,delivered
ORD-000146,Susan Smith,728.24,2023-02-03,cancelled
ORD-000147,Jessica Jones,240.76,2023-06-22,cancelled
ORD-000148,Barbara Jones,463.85,2024-02-21,pending
ORD-000149,Michael Johnson,1379.52,2024-07-14,pending
ORD-000150,Charles Brown,612.52,2024-04-21,delivered
ORD-000151,Jennifer Martinez,157.0,2023-03-10,cancelled
ORD-000152,Jessica Williams,1019.26,2023-02-15,delivered
ORD-000153,Robert Rodriguez,833.25,2024-07-15,delivered
ORD-000154,Linda Jones,973.58,2024-08-06,delivered
ORD-000155,John Garcia,265.93,2023-11-21,pending
ORD-000156,Charles Jones,1195.75,2023-09-01,cancelled
ORD-000157,Jennifer Smith,83.73,2023-09-15,shipped
ORD-000158,Thomas Martinez,492.72,2023-08-11,cancelled
ORD-000159,David Rodriguez,168.03,2023-10-16,cancelled
ORD-000160,David Johnson,816.19,2024-09-08,pending
ORD-000161,John Rodriguez,23.53,2023-08-23,pending
ORD-000162,Barbara Martinez,35186.72,2024-01-05,pending
ORD-000163,Elizabeth Williams,638.91,2024-11-18,pending
ORD-000164,Karen Brown,1174.43,2024-10-08,pending
ORD-000165,Patricia Davis,1735.21,2023-10-07,pending
ORD-000166,Sarah Johnson,525.52,2023-04-07,delivered
ORD-000167,Barbara Martinez,676.02,2023-11-03,pending
ORD-000168,Jennifer Brown,1817.77,2024-06-30,pending
ORD-000169,Linda Williams,13568.07,2024-10-04,shipped
ORD-000170,Susan Smith,1802.21,2023-06-18,pending
ORD-000171,Sarah Garcia,1897.27,2024-11-16,cancelled
ORD-000172,Susan Johnson,359.98,2024-11-27,cancelled
ORD-000173,Patricia Jones,1089.09,2023-04-24,pending
ORD-000174,Jennifer Brown,1207.2,2024-07-11,pending
ORD-000175,Karen Smith,529.25,2024-03-01,shipped
ORD-000176,Elizabeth Davis,42975.77,2023-03-08,cancelled
ORD-000177,Richard Smith,37992.69,2024-04-03,shipped
ORD-000178,James Davis,735.25,2024-08-21,delivered
ORD-000179,Patricia Garcia,1474.04,2023-12-26,cancelled
ORD-000180,Thomas Brown,733.39,2023-04-14,shipped
ORD-000181,Susan Miller,1858.17,2024-07-21,cancelled
ORD-000182,James Williams,682.84,2023-04-01,pending
ORD-000183,Elizabeth Rodriguez,1477.93,2023-07-06,shipped
ORD-000184,John Garcia,192.02,2023-12-15,cancelled
ORD-000185,Joseph Martinez,47805.81,2024-09-04,pending
ORD-000186,Elizabeth Rodriguez,950.46,2023-07-18,delivered
ORD-000187,Linda Martinez,373.06,2023-10-13,shipped
ORD-000188,David Williams,825.85,2024-02-29,cancelled
ORD-000189,Elizabeth Brown,1815.11,2024-08-16,shipped
ORD-000190,Charles Jones,1713.25,2023-08-09,delivered
ORD-000191,Linda Johnson,1355.99,2023-04-08,delivered
ORD-000192,Jessica Garcia,521.49,2023-01-21,delivered
ORD-000193,Richard Brown,1947.35,2023-09-01,cancelled
ORD-000194,Joseph Martinez,536.47,2024-03-07,delivered
ORD-000195,Linda Garcia,734.91,2024-01-23,shipped
ORD-000196,James Martinez,1716.08,2024-08-08,delivered
ORD-000197,Patricia Brown,505.64,2023-01-18,delivered
ORD-000198,Thomas Williams,120.64,2024-01-16,delivered
ORD-000199,Linda Martinez,107.86,2023-02-19,shipped
ORD-000200,William Williams,1435.43,2024-05-03,cancelled
ORD-000201,Michael Garcia,1800.2,2024-05-30,delivered
ORD-000202,William Johnson,1255.72,2024-07-25,delivered
ORD-000203,Patricia Jones,1306.82,2024-09-14,shipped
ORD-000204,Susan Davis,723.35,2024-05-17,cancelled
ORD-000205,Michael Johnson,411.57,2023-11-29,delivered
ORD-000206,Barbara Davis,1953.41,2023-06-07,delivered
ORD-000207,Jessica Garcia,291.58,2024-03-24,shipped
ORD-000208,Charles Martinez,1762.82,2023-02-13,shipped
ORD-000209,Robert Brown,1279.39,2023-02-14,delivered
ORD-000210,Jessica Williams,795.1,2024-06-28,delivered
ORD-000211,Michael Johnson,418.66,2023-10-18,pending
ORD-000212,Susan Martinez,1168.84,2024-04-19,shipped
ORD-000213,William Williams,11634.17,2023-12-03,pending
ORD-000214,Karen Davis,619.2,2023-02-02,cancelled
ORD-000215,Linda Miller,1458.08,2024-01-25,cancelled
ORD-000216,John Davis,65.25,2023-10-16,shipped
ORD-000217,Linda Martinez,5803.89,2023-06-19,pending
ORD-000218,William Davis,1340.93,2023-03-13,cancelled
ORD-000219,James Garcia,658.55,2023-03-13,shipped
ORD-000220,Richard Williams,21745.86,2024-03-15,cancelled
ORD-000221,Susan Smith,440.14,2023-04-23,cancelled
ORD-000222,Thomas Jones,74.79,2023-03-19,cancelled
ORD-000223,James Williams,795.61,2024-11-21,delivered
ORD-000224,Elizabeth Brown,1355.71,2024-09-12,cancelled
ORD-000225,Charles Smith,1785.57,2023-04-23,delivered
ORD-000226,Jennifer Brown,1278.15,2023-08-17,cancelled
ORD-000227,Michael Williams,687.7,2024-03-22,pending
ORD-000228,David Garcia,273.97,2024-07-20,cancelled
ORD-000229,David Davis,1253.12,2023-05-12,delivered
ORD-000230,Elizabeth Brown,433.05,2024-11-01,shipped
ORD-000231,Barbara Williams,1108.05,2024-07-16,delivered
ORD-000232,Michael Smith,1675.77,2023-05-13,pending
ORD-000233,Jennifer Miller,976.84,2024-04-20,pending
ORD-000234,David Miller,16.26,2023-12-03,delivered
ORD-000235,Karen Williams,1629.44,2024-05-06,shipped
ORD-000236,John Rodriguez,509.48,2024-08-09,cancelled
ORD-000237,Karen Jones,1327.13,2024-10-10,shipped
ORD-000238,Jennifer Williams,1080.84,2024-02-04,delivered
ORD-000239,Thomas Rodriguez,409.44,2024-03-14,pending
ORD-000240,Mary Martinez,282.17,2024-02-22,shipped
ORD-000241,Sarah Williams,1627.5,2023-10-18,cancelled
ORD-000242,Elizabeth Davis,978.65,2023-06-01,shipped
ORD-000243,Thomas Davis,20.62,2023-09-07,shipped
ORD-000244,David Davis,88.13,2024-03-25,cancelled
ORD-000245,Jessica Davis,784.38,2023-11-07,delivered
ORD-000246,David Johnson,1633.37,2024-05-31,pending
ORD-000247,David Rodriguez,297.01,2023-10-26,pending
ORD-000248,John Miller,1628.02,2024-10-07,pending
ORD-000249,Michael Rodriguez,1500.27,2024-11-30,delivered
ORD-000250,Elizabeth Jones,1084.89,2024-08-21,shipped
ORD-000251,Linda Rodriguez,825.79,2024-07-12,delivered
ORD-000252,James Rodriguez,41076.49,2024-09-18,cancelled
ORD-000253,Michael Johnson,311.74,2024-08-20,cancelled
ORD-000254,Elizabeth Johnson,1605.0,2024-02-29,shipped
ORD-000255,Sarah Smith,1001.29,2023-03-10,delivered
ORD-000256,Joseph Williams,1768.29,2023-04-26,shipped
ORD-000257,Patricia Martinez,1488.08,2023-09-25,delivered
ORD-000258,Linda Johnson,1628.67,2023-08-11,pending
ORD-000259,Patricia Smith,469.22,2023-10-04,shipped
ORD-000260,Michael Brown,968.74,2024-05-18,pending
ORD-000261,Michael Williams,318.56,2024-06-08,delivered
ORD-000262,Mary Martinez,1569.87,2023-12-06,pending
ORD-000263,Michael Rodriguez,1838.36,2024-09-03,delivered
ORD-000264,Charles Brown,1338.64,2023-07-30,shipped
ORD-000265,Mary Smith,862.11,2023-11-04,delivered
ORD-000266,John Rodriguez,1600.29,2024-08-26,delivered
ORD-000267,Jennifer Brown,1428.88,2024-06-20,shipped
ORD-000268,Charles Garcia,1209.4,2023-01-07,shipped
ORD-000269,Mary Davis,1309.72,2023-10-30,delivered
ORD-000270,Elizabeth Johnson,216.55,2023-07-17,pending
ORD-000271,Karen Martinez,1372.67,2024-07-24,cancelled
ORD-000272,Mary Smith,1736.6,2024-01-24,cancelled
ORD-000273,William Brown,1142.26,2024-05-15,cancelled
ORD-000274,Sarah Williams,810.7,2024-08-06,shipped
ORD-000275,Jennifer Brown,177.06,2023-07-16,pending
ORD-000276,Joseph Smith,499.4,2024-06-23,shipped
ORD-000277,Linda Jones,7923.51,2023-06-04,shipped
ORD-000278,Elizabeth Brown,147.36,2024-08-05,pending
ORD-000279,Elizabeth Martinez,1181.48,2023-08-27,shipped
ORD-000280,Joseph Johnson,1367.02,2023-04-26,pending
ORD-000281,Elizabeth Martinez,1964.52,2024-06-24,delivered
ORD-000282,John Brown,1318.0,2023-11-12,delivered
ORD-000283,Thomas Davis,574.4,2024-09-27,shipped
ORD-000284,Michael Williams,497.53,2023-11-17,delivered
ORD-000285,James Rodriguez,27.79,2024-11-07,cancelled
ORD-000286,Michael Jones,1398.78,2024-10-30,delivered
ORD-000287,Robert Rodriguez,412.7,2023-10-23,delivered
ORD-000288,Susan Rodriguez,851.94,2023-06-11,shipped
ORD-000289,Barbara Rodriguez,605.02,2023-08-04,pending
ORD-000290,David Davis,1908.75,2024-03-27,delivered
ORD-000291,Susan Miller,173.59,2023-12-01,delivered
ORD-000292,Richard Brown,910.03,2023-03-16,cancelled
ORD-000293,James Johnson,1676.36,2023-10-17,pending
ORD-000294,Robert Smith,1468.57,2023-04-15,pending
ORD-000295,Michael Miller,1064.38,2023-11-04,shipped
ORD-000296,Jennifer Johnson,676.55,2024-06-21,shipped
ORD-000297,David Davis,115.72,2023-01-07,shipped
ORD-000298,Thomas Smith,1864.46,2023-08-29,cancelled
ORD-000299,Robert Johnson,850.91,2024-05-23,cancelled
ORD-000300,Sarah Miller,1365.32,2023-09-10,shipped
ORD-000301,Robert Martinez,1896.64,2024-02-10,delivered
ORD-000302,Michael Johnson,445.67,2024-05-02,shipped
ORD-000303,Charles Brown,1230.21,2024-09-16,delivered
ORD-000304,James Miller,159.44,2023-06-26,pending
ORD-000305,Richard Brown,49658.36,2023-02-25,cancelled
ORD-000306,Jennifer Garcia,286.22,2023-03-22,delivered
ORD-000307,David Miller,981.09,2023-04-27,delivered
ORD-000308,David Rodriguez,1772.34,2023-06-18,pending
ORD-000309,Linda Rodriguez,14.48,2023-09-21,delivered
ORD-000310,Susan Martinez,14377.55,2023-06-06,cancelled
ORD-000311,John Garcia,30.0,2024-04-27,delivered
ORD-000312,Jennifer Davis,128.45,2023-02-14,delivered
ORD-000313,Barbara Garcia,495.8,2024-11-30,shipped
ORD-000314,Charles Jones,595.72,2023-01-21,cancelled
ORD-000315,Barbara Williams,299.3,2024-11-06,delivered
ORD-000316,William Jones,138.57,2024-07-06,pending
ORD-000317,Michael Johnson,428.35,2023-02-11,cancelled
ORD-000318,Linda Williams,501.17,2023-07-05,cancelled
ORD-000319,William Jones,283.74,2024-08-26,cancelled
ORD-000320,Thomas Martinez,96.52,2023-12-18,delivered
ORD-000321,Michael Miller,183.8,2024-03-16,shipped
ORD-000322,Sarah Davis,566.52,2023-07-07,pending
ORD-000323,William Johnson,529.29,2023-03-20,shipped
ORD-000324,Jessica Smith,1089.63,2023-07-20,cancelled
ORD-000325,Elizabeth Johnson,1614.59,2023-09-21,cancelled
ORD-000326,Sarah Williams,1235.39,2024-03-22,shipped
ORD-000327,Joseph Jones,1692.75,2024-06-19,cancelled
ORD-000328,Robert Johnson,1673.48,2024-05-14,cancelled
ORD-000329,David Rodriguez,93.17,2024-07-29,pending
ORD-000330,Patricia Brown,1043.89,2023-08-19,pending
ORD-000331,Jennifer Jones,762.37,2024-06-19,shipped
ORD-000332,Joseph Smith,238.16,2024-11-07,cancelled
ORD-000333,Thomas Smith,317.64,2023-01-21,shipped
ORD-000334,Robert Smith,1818.02,2024-10-16,cancelled
ORD-000335,Mary Davis,693.39,2024-04-26,cancelled
ORD-000336,John Garcia,806.32,2023-04-12,pending
ORD-000337,Robert Martinez,1286.45,2023-07-25,shipped
ORD-000338,John Jones,68.98,2023-08-21,shipped
ORD-000339,Thomas Brown,1503.57,2023-07-16,delivered
ORD-000340,Mary Jones,237.9,2024-04-06,pending
ORD-000341,John Johnson,1710.39,2023-11-14,pending
ORD-000342,Linda Smith,349.24,2023-03-04,pending
ORD-000343,Jennifer Martinez,465.42,2024-02-01,pending
ORD-000344,Karen Williams,511.24,2023-12-17,shipped
ORD-000345,Robert Johnson,1041.06,2023-11-23,cancelled
ORD-000346,Susan Jones,105.28,2024-11-27,shipped
ORD-000347,Elizabeth Martinez,779.06,2024-04-25,pending
ORD-000348,Jessica Davis,612.04,2023-12-11,cancelled
ORD-000349,Mary Johnson,1258.73,2023-07-15,delivered
ORD-000350,James Johnson,247.29,2024-11-27,pending
ORD-000351,Susan Miller,927.07,2023-04-24,shipped
ORD-000352,David Rodriguez,37590.21,2024-04-02,cancelled
ORD-000353,Mary Williams,619.57,2024-08-22,pending
ORD-000354,Thomas Davis,1953.29,2023-08-26,cancelled
ORD-000355,Joseph Johnson,156.13,2023-05-01,shipped
ORD-000356,David Johnson,18557.68,2024-11-11,pending
ORD-000357,William Smith,704.48,2023-07-06,pending
ORD-000358,James Rodriguez,1595.58,2024-11-23,cancelled
ORD-000359,John Williams,365.65,2023-04-04,cancelled
ORD-000360,Jessica Smith,499.68,2023-09-24,pending
ORD-000361,Thomas Jones,173.62,2023-05-09,cancelled
ORD-000362,Robert Johnson,10417.84,2024-03-29,cancelled
ORD-000363,Richard Brown,26.89,2024-07-22,cancelled
ORD-000364,Robert Smith,553.83,2023-06-07,shipped
ORD-000365,Joseph Brown,139.15,2023-11-09,delivered
ORD-000366,Karen Davis,965.78,2024-10-02,cancelled
ORD-000367,Thomas Miller,1172.61,2023-07-01,shipped
ORD-000368,Elizabeth Jones,1126.18,2023-12-17,pending
ORD-000369,Linda Williams,1458.82,2024-12-01,pending
ORD-000370,William Smith,682.57,2023-08-23,pending
ORD-000371,Michael Williams,1723.07,2024-05-14,shipped
ORD-000372,Charles Smith,1726.34,2024-01-15,shipped
ORD-000373,James Jones,1561.21,2023-12-07,pending
ORD-000374,David Brown,1767.89,2023-06-18,pending
ORD-000375,Charles Rodriguez,276.83,2024-11-16,cancelled
ORD-000376,Robert Rodriguez,121.81,2024-06-04,cancelled
ORD-000377,David Miller,1945.84,2023-06-05,shipped
ORD-000378,Linda Brown,501.0,2023-03-19,pending
ORD-000379,William Williams,1102.76,2023-05-09,cancelled
ORD-000380,Thomas Williams,1285.96,2023-11-11,cancelled
ORD-000381,Linda Martinez,275.02,2024-02-21,delivered
ORD-000382,Patricia Jones,804.74,2023-04-13,cancelled
ORD-000383,Sarah Garcia,1307.17,2023-12-19,cancelled
ORD-000384,Michael Martinez,1131.36,2023-11-21,shipped
ORD-000385,Mary Rodriguez,20354.59,2023-11-14,delivered
ORD-000386,Richard Johnson,473.21,2023-06-05,delivered
ORD-000387,Barbara Rodriguez,1037.62,2023-03-19,delivered
ORD-000388,Thomas Miller,1566.53,2024-09-13,delivered
ORD-000389,Susan Jones,735.0,2023-07-25,delivered
ORD-000390,David Jones,852.05,2023-02-25,delivered
ORD-000391,Charles Martinez,279.2,2023-07-31,delivered
ORD-000392,William Smith,150.34,2024-07-29,delivered
ORD-000393,Karen Davis,1186.54,2024-01-28,cancelled
ORD-000394,Richard Davis,270.94,2024-09-14,pending
ORD-000395,Karen Garcia,1657.67,2024-01-01,delivered
ORD-000396,Richard Rodriguez,814.49,2023-10-08,shipped
ORD-000397,Thomas Garcia,741.0,2023-04-22,shipped
ORD-000398,Jennifer Garcia,1950.69,2023-09-12,delivered
ORD-000399,Michael Jones,1484.56,2024-10-01,shipped
ORD-000400,Karen Jones,19937.12,2024-02-04,delivered
ORD-000401,Joseph Garcia,1184.91,2024-02-13,pending
ORD-000402,David Smith,413.6,2024-07-31,cancelled
ORD-000403,Barbara Garcia,32.28,2023-05-30,shipped
ORD-000404,Linda Garcia,822.94,2023-01-07,pending
ORD-000405,Jennifer Brown,1561.3,2023-05-05,delivered
ORD-000406,Jennifer Martinez,1272.48,2024-11-13,pending
ORD-000407,Sarah Rodriguez,1161.47,2023-12-11,cancelled
ORD-000408,Mary Brown,36572.72,2023-08-22,pending
ORD-000409,Karen Rodriguez,1375.48,2024-07-06,pending
ORD-000410,Jennifer Williams,952.74,2024-11-13,pending
ORD-000411,Michael Miller,1989.59,2023-03-12,delivered
ORD-000412,Jessica Jones,158.01,2024-05-05,delivered
ORD-000413,John Jones,1270.48,2023-01-28,shipped
ORD-000414,Susan Jones,308.15,2023-07-29,shipped
ORD-000415,James Williams,1288.78,2023-10-05,shipped
ORD-000416,Richard Brown,494.6,2023-02-28,pending
ORD-000417,Charles Rodriguez,1865.67,2024-07-12,pending
ORD-000418,Patricia Martinez,33840.9,2024-04-26,shipped
ORD-000419,John Williams,467.5,2023-06-20,cancelled
ORD-000420,Charles Smith,447.45,2023-05-07,delivered
ORD-000421,Susan Johnson,465.71,2023-06-09,cancelled
ORD-000422,Elizabeth Johnson,1820.55,2023-02-21,shipped
ORD-000423,Elizabeth Miller,1718.44,2024-06-14,cancelled
ORD-000424,James Jones,140.52,2023-09-04,delivered
ORD-000425,Sarah Miller,461.26,2024-04-28,cancelled
ORD-000426,Sarah Williams,971.17,2024-08-24,delivered
ORD-000427,Mary Brown,1190.32,2023-11-12,cancelled
ORD-000428,Charles Jones,115.31,2023-02-17,pending
ORD-000429,Robert Jones,765.12,2023-10-14,cancelled
ORD-000430,Jennifer Jones,136.62,2023-05-23,cancelled
ORD-000431,Richard Brown,1044.6,2023-02-14,shipped
ORD-000432,Barbara Martinez,1817.05,2023-01-11,shipped
ORD-000433,William Brown,1440.54,2024-02-03,pending
ORD-000434,Mary Rodriguez,1299.43,2023-11-02,cancelled
ORD-000435,John Rodriguez,1094.9,2024-11-23,cancelled
ORD-000436,Robert Davis,1072.06,2023-04-07,delivered
ORD-000437,David Brown,59.79,2023-09-26,delivered
ORD-000438,Robert Miller,483.67,2024-10-20,shipped
ORD-000439,David Rodriguez,417.69,2023-01-16,delivered
ORD-000440,Joseph Martinez,1354.46,2023-01-03,shipped
ORD-000441,James Brown,1765.85,2023-12-12,delivered
ORD-000442,David Brown,651.49,2023-02-27,pending
ORD-000443,Jennifer Martinez,1636.25,2023-09-15,pending
ORD-000444,Joseph Smith,1682.48,2024-10-25,cancelled
ORD-000445,Thomas Brown,525.98,2024-11-19,delivered
ORD-000446,William Williams,373.97,2023-04-28,delivered
ORD-000447,Thomas Smith,1944.48,2024-03-25,delivered
ORD-000448,Karen Garcia,41.01,2023-06-28,pending
ORD-000449,Charles Miller,12854.82,2023-06-21,shipped
ORD-000450,Thomas Johnson,613.29,2024-01-24,cancelled
ORD-000451,Robert Smith,841.66,2023-02-15,pending
ORD-000452,Michael Jones,1639.9,2023-01-10,delivered
ORD-000453,Patricia Davis,143.38,2024-04-12,shipped
ORD-000454,Barbara Miller,1002.25,2023-03-01,shipped
ORD-000455,Joseph Martinez,1708.54,2024-04-05,cancelled
ORD-000456,Elizabeth Smith,636.11,2023-06-26,delivered
ORD-000457,Jennifer Johnson,136.58,2024-11-07,shipped
ORD-000458,James Rodriguez,224.71,2023-04-11,cancelled
ORD-000459,John Davis,1238.81,2023-07-05,shipped
ORD-000460,Charles Johnson,405.56,2024-03-14,delivered
ORD-000461,Robert Jones,1194.98,2023-03-15,shipped
ORD-000462,Barbara Davis,1872.45,2023-03-12,cancelled
